x,y
0.2,-0.002934
0.4,-0.011745
0.6,-0.025573
0.8,-0.049057
1.0,-0.07589
1.2,-0.108355
1.4,-0.146401
1.6,-0.18993
1.8,-0.238936
2.0,-0.293304
2.2,-0.353205
2.4,-0.418263
2.6,-0.488746
2.8,-0.564545
3.0,-0.646044
3.2,-0.733159
3.4,-0.826158
3.6,-0.92487
3.8,-1.029197
4.0,-1.138935
4.2,-1.252812
4.4,-1.372361
4.6,-1.496393
4.8,-1.623345
5.0,-1.749985
5.2,-1.884168
5.4,-2.020096
5.6,-2.156548
5.8,-2.292228
6.0,-2.421469
6.2,-2.544313
6.4,-2.660023
6.6,-2.776874
6.8,-2.892881
7.0,-3.013705
7.2,-3.149415
7.4,-3.27783
-0.0,-0.0
-0.2,-0.003015
-0.4,-0.012067
-0.6,-0.027545
-0.8,-0.049823
-1.0,-0.077931
-1.2,-0.112439
-1.4,-0.153368
-1.6,-0.200681
-1.8,-0.253949
-2.0,-0.313189
-2.2,-0.378537
-2.4,-0.450528
-2.6,-0.528586
-2.8,-0.612907
-3.0,-0.703966
-3.2,-0.800817
-3.4,-0.903919
-3.6,-1.014079
-3.8,-1.130508
-4.0,-1.254687
-4.2,-1.386458
-4.4,-1.524222
-4.6,-1.669486
-4.8,-1.823398
-5.0,-1.984205
-5.2,-2.1525
-5.4,-2.326154
-5.6,-2.50458
-5.8,-2.686043
-6.0,-2.870021
-6.2,-3.05562
-6.4,-3.248779
-6.6,-3.450514
-6.8,-3.655573
-7.0,-3.862073
-7.2,-4.069557
-7.4,-4.278833
